uid,label,fold
xaji0y6d,0,3
pbhsahxt,0,1
hv3a3zmf,0,4
8mdd4v30,0,2
t9nt3w5u,1,2
zbikcidk,1,3
wnnhj7xv,0,1
g0fn9xuy,0,3
41ibljh7,0,0
5lxo6qji,1,1
ujv6oh9s,1,2
dbdw2pcn,1,4
9t84azyt,0,0
jxepq85j,1,3
sg65kxvf,1,0
1t2tala7,0,4
53lc58dr,1,3
c11ertj5,1,2
9mx2x18h,0,0
afeyuhz1,1,4
gv0e38da,1,3
ly8ozcyw,1,4
d14ve92m,1,0
pnsm43d8,0,0
w3zp08j3,1,1
trp0j43d,1,2
5iqvnb4g,1,3
h2m5zja8,1,4
dzr1yxr2,1,4
dhylurtp,0,4
0lzjjege,1,2
t1ghr09s,0,3
kdgigatj,1,3
9tze5r5u,0,0
qpgb7r3o,0,0
cwbfuk9e,0,3
1v2isqp4,1,0
9kwv08hh,1,0
xfgcaqvk,0,4
izzqy72w,1,3
x7ptx63c,1,1
fl0ukeyz,1,4
7srcbplj,1,1
d84u89yj,1,1
b1qx6gvw,0,2
rdmly4ly,0,3
k83tqll8,0,1
os9xtogn,1,3
1w1ht7pz,1,1
e9vifttd,1,1
96qe3rzs,0,1
j49itn7s,1,2
55j2o7s3,0,4
kkv9rftm,1,0
ttqlgzui,1,2
1b0z3nx3,1,0
9rbsv55p,1,4
sq0oxfq8,1,0
myx444nl,1,0
z15bcw79,1,3
0pdw5py6,1,1
b2knftu2,1,3
gc5wi6fq,0,1
jja26yfp,1,1
mvxpj4hn,0,2
riuu9k9x,1,4
juy0bvr6,1,1
k2vmwwyz,0,2
x4w6xlpu,0,3
0dk0get8,0,1
t63j3r30,1,3
me8f8409,0,4
82n2atqy,0,4
yv37dia5,0,2
u6hc36ko,0,0
f8krd5eq,0,3
y08p0fod,0,3
ro8bnp84,0,4
dyt9moge,0,1
4qxxva2i,0,0
euc1hh5l,1,0
f6a4fejg,0,0
xaa2ilgb,0,1
0s0r2sds,1,1
8b25sq8c,0,3
royr6ccv,1,1
cjwtl9tq,1,0
vdz4x1zh,1,1
qimqodpx,1,1
nf7c3dd0,1,1
3uvulemx,0,0
15z8vmuh,0,0
xid4n1u3,1,3
493wxa73,1,4
jgzlma5u,0,2
ofwb0hpm,0,3
nz1udbfw,1,2
yjxrpj1e,0,0
pkyrybov,0,2
akhejla0,0,1
gnzs43c5,1,4
ba75uuzp,0,0
eal2w37d,0,2
4ivsolml,1,2
gses6m03,0,4
3ifhv1xg,0,0
1r11q7uw,0,2
w5wfcpkj,0,1
cslqc3c5,0,3
4wsqt26q,0,3
3xlrfcd6,0,0
mzsgipps,0,3
fnkomv2x,0,0
cdyk0x65,1,3
mufm8zov,1,2
7ln23y30,1,0
ysxpnngh,1,4
8riec4d1,0,2
45bm1enf,0,4
313fpoyi,1,1
pk0qtl3q,0,2
4n89qkns,0,1
832ejx5t,1,3
d44k1j6f,0,3
p8hqmabs,0,3
i9nb74x2,0,0
ek3zezqa,0,4
cj4t0sek,0,3
kbp2qd6v,1,2
asifpwio,1,1
xd9css9t,0,1
oqw9ja2m,0,2
0w10lbt3,0,2
g2qzw3c1,0,2
qkbhb7s9,0,2
t64z7w2s,0,2
ehe2atn2,0,0
twdl9zs1,0,3
3c9xqym5,1,0
2xg8p6be,1,3
fflzm764,0,2
jwtektsg,1,3
7fxzv4u3,0,3
bbxux1ox,0,1
rwk8r2yk,1,2
ccprhvlz,1,2
049enulq,0,1
jidknwi5,0,2
flul1rsr,0,4
la8s8hmb,0,4
r5xqt4p5,0,2
01nouhtc,0,2
s1k9ye9o,0,2
2m71hssb,1,3
elrqvslw,1,2
f90km3tz,0,0
k3ny9v20,0,4
yar821uz,1,0
vgww4fyb,1,3
8dalfyo1,0,4
750cehlx,1,3
slg6mm1z,1,3
xyvgiui9,1,4
kkhzlm72,0,4
jeyn9382,1,3
kkzmpjrh,1,3
t7zewviy,0,3
twbozd1a,0,2
t7o75rh8,1,2
lx6dut07,0,2
6g5g79or,1,2
7875aud9,1,4
k9tr74qg,0,2
