uid,fold
xaji0y6d,4
pbhsahxt,0
hv3a3zmf,4
8mdd4v30,2
t9nt3w5u,3
zbikcidk,2
wnnhj7xv,2
g0fn9xuy,3
41ibljh7,2
5lxo6qji,0
ujv6oh9s,3
dbdw2pcn,4
9t84azyt,4
jxepq85j,3
sg65kxvf,3
1t2tala7,4
53lc58dr,0
c11ertj5,2
9mx2x18h,2
afeyuhz1,0
gv0e38da,4
ly8ozcyw,0
d14ve92m,1
pnsm43d8,4
w3zp08j3,0
trp0j43d,2
5iqvnb4g,2
h2m5zja8,3
dzr1yxr2,0
dhylurtp,1
0lzjjege,4
t1ghr09s,4
kdgigatj,2
9tze5r5u,1
qpgb7r3o,3
cwbfuk9e,1
1v2isqp4,1
9kwv08hh,4
xfgcaqvk,4
izzqy72w,1
x7ptx63c,1
fl0ukeyz,3
7srcbplj,1
d84u89yj,4
b1qx6gvw,3
rdmly4ly,1
k83tqll8,3
os9xtogn,4
1w1ht7pz,4
e9vifttd,1
96qe3rzs,0
j49itn7s,2
55j2o7s3,2
kkv9rftm,1
ttqlgzui,4
1b0z3nx3,2
9rbsv55p,0
sq0oxfq8,1
myx444nl,1
z15bcw79,2
0pdw5py6,2
b2knftu2,3
gc5wi6fq,4
jja26yfp,4
mvxpj4hn,0
riuu9k9x,3
juy0bvr6,2
k2vmwwyz,2
x4w6xlpu,4
0dk0get8,0
t63j3r30,3
me8f8409,4
82n2atqy,3
yv37dia5,1
u6hc36ko,0
f8krd5eq,4
y08p0fod,1
ro8bnp84,1
dyt9moge,4
4qxxva2i,4
euc1hh5l,0
f6a4fejg,1
xaa2ilgb,2
0s0r2sds,2
8b25sq8c,4
royr6ccv,1
cjwtl9tq,1
vdz4x1zh,0
qimqodpx,4
nf7c3dd0,0
3uvulemx,0
15z8vmuh,0
xid4n1u3,2
493wxa73,4
jgzlma5u,1
ofwb0hpm,4
nz1udbfw,3
yjxrpj1e,1
pkyrybov,3
akhejla0,0
gnzs43c5,3
ba75uuzp,0
eal2w37d,2
4ivsolml,0
gses6m03,0
3ifhv1xg,4
1r11q7uw,1
w5wfcpkj,4
cslqc3c5,2
4wsqt26q,3
3xlrfcd6,4
mzsgipps,2
fnkomv2x,1
cdyk0x65,0
mufm8zov,1
7ln23y30,4
ysxpnngh,4
8riec4d1,1
45bm1enf,1
313fpoyi,1
pk0qtl3q,0
4n89qkns,4
832ejx5t,4
d44k1j6f,2
p8hqmabs,2
i9nb74x2,3
ek3zezqa,3
cj4t0sek,2
kbp2qd6v,1
asifpwio,2
xd9css9t,3
oqw9ja2m,3
0w10lbt3,4
g2qzw3c1,0
qkbhb7s9,4
t64z7w2s,3
ehe2atn2,0
twdl9zs1,2
3c9xqym5,4
2xg8p6be,2
fflzm764,4
jwtektsg,0
7fxzv4u3,1
bbxux1ox,2
rwk8r2yk,2
ccprhvlz,3
049enulq,3
jidknwi5,1
flul1rsr,0
la8s8hmb,1
r5xqt4p5,4
01nouhtc,4
s1k9ye9o,1
2m71hssb,2
elrqvslw,0
f90km3tz,3
k3ny9v20,1
yar821uz,2
vgww4fyb,4
8dalfyo1,1
750cehlx,0
slg6mm1z,0
xyvgiui9,3
kkhzlm72,2
jeyn9382,2
kkzmpjrh,3
t7zewviy,1
twbozd1a,1
t7o75rh8,2
lx6dut07,4
6g5g79or,2
7875aud9,4
