uid,label,cluster,sev,global_tercile,group
xaji0y6d,0,3,3.3358,-1,1
pbhsahxt,0,3,3.9618,-1,1
hv3a3zmf,0,3,3.4322,-1,1
8mdd4v30,0,3,4.0561,-1,0
t9nt3w5u,1,3,3.077,2,1
zbikcidk,1,3,2.727,1,2
wnnhj7xv,0,3,3.4574,-1,1
g0fn9xuy,0,3,4.1873,-1,2
41ibljh7,0,3,3.2631,-1,1
5lxo6qji,1,3,3.2407,2,1
ujv6oh9s,1,3,3.2541,2,1
dbdw2pcn,1,3,2.7751,1,2
9t84azyt,0,3,3.3927,-1,0
jxepq85j,1,3,2.9498,1,1
sg65kxvf,1,3,2.3042,0,0
1t2tala7,0,3,3.2795,-1,2
53lc58dr,1,3,3.1582,2,1
c11ertj5,1,3,2.3312,0,0
9mx2x18h,0,4,3.301,-1,1
afeyuhz1,1,4,2.3904,0,0
gv0e38da,1,2,3.1606,2,1
ly8ozcyw,1,4,2.8582,1,1
d14ve92m,1,4,2.4169,0,0
pnsm43d8,0,4,3.3267,-1,1
w3zp08j3,1,4,2.5043,0,0
trp0j43d,1,4,2.7077,1,2
5iqvnb4g,1,4,2.3838,0,0
h2m5zja8,1,4,2.7802,1,2
dzr1yxr2,1,4,2.6213,0,2
dhylurtp,0,4,3.0146,-1,0
0lzjjege,1,4,3.0476,2,1
t1ghr09s,0,4,3.663,-1,2
kdgigatj,1,4,2.5428,0,0
9tze5r5u,0,4,2.452,-1,2
qpgb7r3o,0,5,3.2041,-1,1
cwbfuk9e,0,4,2.9582,-1,0
1v2isqp4,1,4,2.6929,1,2
9kwv08hh,1,4,2.0939,0,0
xfgcaqvk,0,4,3.5678,-1,2
izzqy72w,1,4,2.3511,0,0
x7ptx63c,1,4,2.9087,1,1
fl0ukeyz,1,4,2.449,0,0
7srcbplj,1,4,2.873,1,1
d84u89yj,1,4,2.3984,0,0
b1qx6gvw,0,4,3.2075,-1,0
rdmly4ly,0,4,2.8515,-1,0
k83tqll8,0,4,3.2197,-1,0
os9xtogn,1,4,1.5193,0,0
1w1ht7pz,1,4,1.4857,0,0
e9vifttd,1,4,2.7988,1,2
96qe3rzs,0,4,2.6481,-1,0
j49itn7s,1,4,2.8514,1,2
55j2o7s3,0,4,3.3058,-1,2
kkv9rftm,1,4,2.8828,1,1
ttqlgzui,1,4,2.9636,1,1
1b0z3nx3,1,4,1.8904,0,0
9rbsv55p,1,4,3.1082,2,1
sq0oxfq8,1,4,3.1923,2,1
myx444nl,1,4,3.2475,2,1
z15bcw79,1,4,2.688,1,2
0pdw5py6,1,4,3.0324,1,1
b2knftu2,1,4,2.7127,1,2
gc5wi6fq,0,4,3.2025,-1,2
jja26yfp,1,4,2.3533,0,0
mvxpj4hn,0,4,3.4495,-1,0
riuu9k9x,1,4,2.8041,1,2
juy0bvr6,1,4,2.7448,1,2
k2vmwwyz,0,4,3.5637,-1,0
x4w6xlpu,0,4,3.3975,-1,1
0dk0get8,0,4,3.0048,-1,0
t63j3r30,1,4,2.1508,0,0
me8f8409,0,4,3.3213,-1,2
82n2atqy,0,4,2.9268,-1,0
yv37dia5,0,4,3.1904,-1,1
u6hc36ko,0,4,3.1233,-1,1
f8krd5eq,0,4,3.1128,-1,2
y08p0fod,0,4,2.9631,-1,1
ro8bnp84,0,4,3.1741,-1,0
dyt9moge,0,4,3.0367,-1,1
4qxxva2i,0,4,3.2606,-1,2
euc1hh5l,1,4,2.7803,1,2
f6a4fejg,0,4,3.2358,-1,2
xaa2ilgb,0,4,2.8301,-1,0
0s0r2sds,1,4,2.9973,1,1
8b25sq8c,0,4,3.475,-1,1
royr6ccv,1,4,2.0254,0,0
cjwtl9tq,1,4,2.5926,0,2
vdz4x1zh,1,4,2.5957,0,2
qimqodpx,1,4,2.484,0,0
nf7c3dd0,1,4,3.1823,2,1
3uvulemx,0,0,2.854,-1,0
15z8vmuh,0,0,3.82,-1,2
xid4n1u3,1,0,4.0287,2,1
493wxa73,1,0,2.5942,0,2
jgzlma5u,0,0,3.1398,-1,2
ofwb0hpm,0,0,2.1579,-1,0
nz1udbfw,1,0,2.948,1,1
yjxrpj1e,0,0,2.7333,-1,1
pkyrybov,0,0,3.1787,-1,1
akhejla0,0,0,2.6133,-1,1
gnzs43c5,1,5,1.8638,0,0
ba75uuzp,0,5,3.7311,-1,2
eal2w37d,0,5,2.2921,-1,1
4ivsolml,1,5,2.485,0,0
gses6m03,0,0,3.0761,-1,1
3ifhv1xg,0,5,2.5098,-1,2
1r11q7uw,0,5,3.0219,-1,0
w5wfcpkj,0,5,3.508,-1,0
cslqc3c5,0,5,3.3637,-1,2
4wsqt26q,0,0,2.9573,-1,1
3xlrfcd6,0,5,3.8124,-1,1
mzsgipps,0,0,3.1851,-1,0
fnkomv2x,0,0,3.2639,-1,0
cdyk0x65,1,0,2.9164,1,2
mufm8zov,1,0,2.5393,0,0
7ln23y30,1,0,1.8733,0,0
ysxpnngh,1,0,2.0722,0,0
8riec4d1,0,0,3.7653,-1,2
45bm1enf,0,0,2.9044,-1,2
313fpoyi,1,0,0.996,0,0
pk0qtl3q,0,0,3.4027,-1,1
4n89qkns,0,0,2.8551,-1,2
832ejx5t,1,0,2.8254,1,2
d44k1j6f,0,5,3.5157,-1,0
p8hqmabs,0,5,2.9379,-1,0
i9nb74x2,0,5,2.9308,-1,2
ek3zezqa,0,5,3.1496,-1,1
cj4t0sek,0,0,2.848,-1,0
kbp2qd6v,1,5,2.5314,0,2
asifpwio,1,0,2.6346,0,2
xd9css9t,0,0,3.6877,-1,2
oqw9ja2m,0,0,3.6272,-1,0
0w10lbt3,0,5,3.4252,-1,0
g2qzw3c1,0,0,3.2901,-1,2
qkbhb7s9,0,0,3.3628,-1,0
t64z7w2s,0,0,3.6258,-1,2
ehe2atn2,0,0,3.3105,-1,0
twdl9zs1,0,0,2.9955,-1,0
3c9xqym5,1,0,2.2754,0,0
2xg8p6be,1,5,2.5238,0,2
fflzm764,0,0,2.9531,-1,2
jwtektsg,1,3,2.5543,0,0
7fxzv4u3,0,0,2.5046,-1,2
bbxux1ox,0,0,2.9752,-1,0
rwk8r2yk,1,0,3.2532,2,1
ccprhvlz,1,0,2.9443,1,1
049enulq,0,0,3.2466,-1,1
jidknwi5,0,5,2.8834,-1,0
flul1rsr,0,0,3.9251,-1,2
la8s8hmb,0,0,3.5088,-1,1
r5xqt4p5,0,5,3.1695,-1,0
01nouhtc,0,5,2.9864,-1,2
s1k9ye9o,0,5,2.8674,-1,2
2m71hssb,1,0,2.304,0,0
elrqvslw,1,5,2.1143,0,0
f90km3tz,0,5,2.8678,-1,1
k3ny9v20,0,5,3.0896,-1,1
yar821uz,1,5,2.3523,0,0
vgww4fyb,1,3,2.4024,0,0
8dalfyo1,0,5,3.01,-1,1
750cehlx,1,5,2.8461,1,1
slg6mm1z,1,5,2.5549,0,1
xyvgiui9,1,0,2.8664,1,2
kkhzlm72,0,5,3.5606,-1,2
jeyn9382,1,0,2.4222,0,0
kkzmpjrh,1,0,2.0034,0,0
t7zewviy,0,0,3.3379,-1,1
twbozd1a,0,0,2.7952,-1,1
t7o75rh8,1,5,2.513,0,2
lx6dut07,0,0,2.9929,-1,0
6g5g79or,1,0,2.7026,1,2
7875aud9,1,0,3.4438,2,1
k9tr74qg,0,0,2.9016,-1,1
efqjg02u,1,5,2.0944,0,0
1g463sdy,1,5,3.222,2,1
gfliji18,1,7,3.0934,2,1
k0axycel,0,7,3.5377,-1,1
os6zle6k,1,7,2.8318,1,2
whef0vot,1,7,3.7784,2,1
qtxhi15c,1,7,2.7029,1,0
qzcuctsu,1,7,2.425,0,0
flsehuds,1,7,3.1248,2,1
3qsqcq30,0,7,3.298,-1,2
o30ubmc9,0,7,2.813,-1,0
7c7bo119,0,7,3.1772,-1,2
xp9n56ny,0,7,3.563,-1,1
xtxmgtt0,0,7,3.2714,-1,1
iaakytt3,0,7,3.2688,-1,0
imj70e3p,1,7,2.643,0,0
15ahdbvz,0,7,3.2331,-1,0
b0oih5cs,1,7,2.4728,0,0
k30lvylk,0,7,3.0945,-1,2
fxhkc856,0,7,3.7652,-1,2
wpr97y2l,1,7,2.8313,1,2
ofn1r4kz,1,7,2.9837,1,2
36u8ueih,1,7,3.2993,2,1
x74d0gjy,0,7,3.8567,-1,0
v5g10ur5,1,7,2.3482,0,0
l8a78e9r,0,7,3.51,-1,2
ivh6t1nt,1,7,2.7199,1,0
mjsrd9q4,1,7,3.2322,2,1
6nouhfj7,0,7,3.2482,-1,0
upfln4rx,1,7,2.2815,0,0
yj38xrg2,0,7,3.2471,-1,2
gzr7txcb,0,7,3.585,-1,1
48y1o4iz,1,7,2.5023,0,0
asnwywrr,1,7,2.6386,0,0
atatj9a3,0,7,3.6338,-1,0
y36ddfgs,0,7,3.0547,-1,0
3jonou9i,1,7,2.6234,0,0
y4x41dnt,0,7,3.1978,-1,2
cagrp2u4,0,7,3.8609,-1,1
dtbh55rb,0,7,3.3585,-1,1
c76ub7l8,1,7,2.7211,1,0
v1zocfi4,1,7,3.046,2,2
o6l1f90s,0,7,3.5151,-1,0
9bp4m18o,0,7,3.2365,-1,2
1bj9rm7p,0,7,2.9,-1,2
yxdw2zcf,1,7,3.0326,1,2
zw0ldalm,0,7,3.4971,-1,2
jegqtoam,0,7,3.3207,-1,0
dvlnknd6,0,7,2.9883,-1,2
69ugnekr,0,7,3.5384,-1,1
cpprcjiw,1,7,2.3461,0,0
vhdk8lw2,0,7,3.3763,-1,1
lm349el8,1,7,2.2929,0,0
hl88kzru,0,7,3.4897,-1,1
in3oeuvt,1,7,2.8535,1,2
yt8qzpky,0,7,3.3737,-1,0
32orwixz,1,7,2.829,1,2
2c9ros7y,0,7,3.1652,-1,2
t2m6twd1,1,7,2.6869,1,0
xmxb9yo1,0,7,3.3951,-1,2
8pajssuu,0,7,2.9509,-1,0
qo1vsmad,1,7,3.1129,2,1
o8e7flqh,1,7,3.6292,2,1
rrpzlk3e,0,7,3.0502,-1,0
4xyf9igf,1,7,2.8627,1,2
u8iogxpb,0,7,3.0038,-1,2
whvnzh13,1,7,2.6582,1,0
cd5glqj5,1,7,2.8555,1,2
sxvwvm4w,0,7,3.3831,-1,0
3zkwdeek,1,7,3.1505,2,1
gyspengw,0,7,3.324,-1,1
yx9trflq,1,7,3.3422,2,1
bmae38sr,0,7,3.1298,-1,2
yo4rcb1k,1,7,2.8262,1,2
jtgq01te,0,7,3.3523,-1,0
e13n3bzt,0,7,3.4192,-1,2
9d31k9qm,1,7,3.6542,2,1
3p91i3vm,0,7,3.2207,-1,0
zwffhhcm,1,7,2.8271,1,2
ktlzkj49,0,7,3.2135,-1,2
yd82795e,1,7,2.5216,0,0
5iz31yru,0,7,3.4986,-1,1
joqw5dsk,1,7,2.8397,1,2
7n8la100,1,7,2.5496,0,0
qxmcthph,0,7,3.9587,-1,0
j3muurmy,1,7,2.8906,1,2
bd2qe4pa,0,7,2.7179,-1,0
8hyexf7j,1,7,2.9743,1,2
xjn6fokz,0,7,3.0704,-1,1
ixzareiy,0,7,3.5668,-1,1
az39pecn,0,7,2.7935,-1,1
0dl5e11e,1,7,2.4469,0,0
9ftaxp0w,1,7,2.7348,1,0
foy4dd1v,1,7,3.0161,1,2
n8lfjdtv,0,7,3.6031,-1,1
v2y4xkss,1,7,3.4377,2,1
0kb68rer,0,7,2.8297,-1,1
vt997e4u,0,7,2.9847,-1,1
ny181acj,0,7,3.3038,-1,1
bc2swsoz,1,7,3.6628,2,1
ctwjlsh3,0,7,3.4831,-1,0
tow4ycz0,0,7,3.6377,-1,1
4cdpqvl0,1,7,2.5937,0,0
0ezzf8s2,1,7,2.9825,1,2
zge2j51b,1,7,2.5145,0,0
3jczucqm,0,7,2.9741,-1,0
runjdu0i,1,7,3.1996,2,1
sb5iqnf7,0,7,3.5814,-1,2
4t60ploz,1,7,2.8859,1,2
jcns6g29,1,7,3.3184,2,1
8cqk4lta,0,7,3.2422,-1,0
hukwqvr1,0,7,3.2868,-1,2
h61iaoim,1,7,2.6999,1,0
458ax40d,0,7,3.5539,-1,2
tirc9zd7,1,7,2.9467,1,2
6szn9dde,1,7,2.7103,1,0
3cup8ijl,0,7,3.3388,-1,2
2z0ljch2,1,7,3.7686,2,1
vffqot8h,0,7,3.0737,-1,2
ljefy3zb,1,7,2.9049,1,2
4ldimsyj,1,7,3.0322,1,2
9boq0iq2,1,7,2.4905,0,0
fa39e3nw,0,7,3.2021,-1,2
xuj3ac6p,0,7,3.0092,-1,1
e63lbqgu,0,7,3.0172,-1,1
3obyghgk,1,7,2.4338,0,0
5bwikotc,0,7,3.187,-1,1
keh5sw22,0,7,2.8749,-1,0
92mtr6sn,0,7,3.4389,-1,0
glh62c9t,1,7,3.3069,2,1
199dxj37,0,7,3.6511,-1,1
c9h42m44,1,7,2.8749,1,2
gv3z6bz8,0,7,3.0364,-1,1
uug95rlr,1,7,2.9005,1,2
dihsa7he,1,7,2.6457,0,0
z74lav71,0,7,3.2828,-1,1
448n7odk,0,7,3.1943,-1,2
ef828xg8,1,7,3.1046,2,1
y72ivgly,1,7,3.1321,2,1
e088o98b,0,7,3.0437,-1,0
v78hu7f0,1,7,3.4433,2,1
i9g5dzx5,1,7,2.542,0,0
qjicjdan,0,7,3.4333,-1,2
085rntdr,1,7,2.4339,0,0
5xyfc4kl,1,7,3.2033,2,1
8cgn0t6d,0,7,3.5844,-1,2
vwrb7f6f,0,7,3.2923,-1,2
dhgzz0jk,1,7,2.9469,1,2
ibu4fmpk,1,7,2.83,1,2
xvhagkc4,0,7,2.8158,-1,0
lorxdtg5,0,7,3.7686,-1,2
nqjqijc1,0,7,3.4501,-1,1
ydmt8vt4,1,7,3.2397,2,1
3pt5r5rc,0,7,3.2824,-1,2
6zs62ywe,1,7,3.2976,2,1
1g983ep9,1,7,3.0696,2,1
p9w4j66c,0,7,3.6171,-1,1
noljq52w,0,7,3.3427,-1,2
spofv177,0,7,2.943,-1,0
udktmonr,1,7,2.5296,0,0
vbjfvyb6,0,7,2.8341,-1,0
li076a3k,1,7,2.2632,0,0
krzd5e9p,0,7,3.5233,-1,0
3jpxgh30,0,7,3.5333,-1,0
153sflse,1,7,2.8895,1,2
45bg34iq,0,7,2.8636,-1,1
7zj3sweb,0,7,3.6149,-1,0
nvg5vmf6,0,7,3.4625,-1,1
0yknfu84,1,7,3.241,2,1
xyjoa21a,1,7,3.0462,2,1
6xvaj2k8,1,7,2.891,1,2
xpnmjqy3,1,7,2.4883,0,0
odsx4nxv,0,7,3.1902,-1,0
kdc9x5jz,1,7,2.7589,1,2
6kf1622v,1,7,2.8629,1,2
xyzx9jpn,1,7,3.3745,2,1
bzug0it2,1,7,2.88,1,2
6ys445gd,0,7,3.1746,-1,0
ej31gymd,0,7,3.3186,-1,1
m0l2ljk4,0,7,2.9247,-1,0
q5v7c6s5,1,7,3.3029,2,1
nkb4ehou,1,7,3.6001,2,1
6qlz2rwg,1,7,2.9,1,2
waj1g1r1,1,7,2.5296,0,0
dwwo8nbh,1,7,2.483,0,0
nal3gywi,1,7,2.8231,1,2
ymenvg3k,1,7,3.6432,2,1
k0vm59m6,1,7,3.1738,2,1
mg87oi0e,0,7,3.6845,-1,1
0vgnxb5j,0,7,3.1662,-1,2
tb9xxayp,0,7,3.7035,-1,1
ntrfzwkx,1,7,3.4986,2,1
xjve3dze,1,7,2.7273,1,0
edhhjshz,0,7,3.7771,-1,1
kbrh7lay,0,7,3.0721,-1,2
64yfds0d,0,7,3.2254,-1,2
ji9kqdgb,0,7,3.7272,-1,1
k2l0d1b4,1,7,2.6019,0,0
xgmpw5d3,0,7,3.3206,-1,2
go8jn42x,0,7,3.2499,-1,0
2ezc7fov,1,7,2.7809,1,2
2ygnmby4,0,7,3.4383,-1,0
9e7eobjl,1,7,2.752,1,2
zy1uu9ym,1,7,2.9742,1,2
