uid,label,fold
xaji0y6d,0,2
pbhsahxt,0,2
hv3a3zmf,0,3
8mdd4v30,0,4
t9nt3w5u,1,0
zbikcidk,1,1
wnnhj7xv,0,1
g0fn9xuy,0,4
41ibljh7,0,1
5lxo6qji,1,1
ujv6oh9s,1,1
dbdw2pcn,1,1
9t84azyt,0,0
jxepq85j,1,3
sg65kxvf,1,1
1t2tala7,0,2
53lc58dr,1,1
c11ertj5,1,2
9mx2x18h,0,0
afeyuhz1,1,4
gv0e38da,1,2
ly8ozcyw,1,2
d14ve92m,1,3
pnsm43d8,0,2
w3zp08j3,1,3
trp0j43d,1,4
5iqvnb4g,1,3
h2m5zja8,1,1
dzr1yxr2,1,0
dhylurtp,0,1
0lzjjege,1,4
t1ghr09s,0,0
kdgigatj,1,0
9tze5r5u,0,3
qpgb7r3o,0,1
cwbfuk9e,0,2
1v2isqp4,1,4
9kwv08hh,1,1
xfgcaqvk,0,1
izzqy72w,1,4
x7ptx63c,1,3
fl0ukeyz,1,2
7srcbplj,1,0
d84u89yj,1,1
b1qx6gvw,0,0
rdmly4ly,0,1
k83tqll8,0,4
os9xtogn,1,2
1w1ht7pz,1,2
e9vifttd,1,2
96qe3rzs,0,3
j49itn7s,1,3
55j2o7s3,0,1
kkv9rftm,1,1
ttqlgzui,1,4
1b0z3nx3,1,1
9rbsv55p,1,3
sq0oxfq8,1,3
myx444nl,1,0
z15bcw79,1,1
0pdw5py6,1,1
b2knftu2,1,3
gc5wi6fq,0,4
jja26yfp,1,0
mvxpj4hn,0,2
riuu9k9x,1,1
juy0bvr6,1,2
k2vmwwyz,0,4
x4w6xlpu,0,3
0dk0get8,0,4
t63j3r30,1,2
me8f8409,0,1
82n2atqy,0,2
yv37dia5,0,4
u6hc36ko,0,0
f8krd5eq,0,1
y08p0fod,0,2
ro8bnp84,0,3
dyt9moge,0,1
4qxxva2i,0,1
euc1hh5l,1,3
f6a4fejg,0,4
xaa2ilgb,0,4
0s0r2sds,1,3
8b25sq8c,0,0
royr6ccv,1,4
cjwtl9tq,1,4
vdz4x1zh,1,0
qimqodpx,1,0
nf7c3dd0,1,2
3uvulemx,0,0
15z8vmuh,0,0
xid4n1u3,1,1
493wxa73,1,4
jgzlma5u,0,2
ofwb0hpm,0,2
nz1udbfw,1,2
yjxrpj1e,0,3
pkyrybov,0,1
akhejla0,0,4
gnzs43c5,1,3
ba75uuzp,0,0
eal2w37d,0,4
4ivsolml,1,1
gses6m03,0,3
3ifhv1xg,0,4
1r11q7uw,0,3
w5wfcpkj,0,1
cslqc3c5,0,3
4wsqt26q,0,4
3xlrfcd6,0,0
mzsgipps,0,2
fnkomv2x,0,0
cdyk0x65,1,3
mufm8zov,1,1
7ln23y30,1,2
ysxpnngh,1,3
8riec4d1,0,2
45bm1enf,0,4
313fpoyi,1,2
pk0qtl3q,0,4
4n89qkns,0,4
832ejx5t,1,4
d44k1j6f,0,0
p8hqmabs,0,2
i9nb74x2,0,4
ek3zezqa,0,3
cj4t0sek,0,4
kbp2qd6v,1,3
asifpwio,1,0
xd9css9t,0,0
oqw9ja2m,0,2
0w10lbt3,0,2
g2qzw3c1,0,2
qkbhb7s9,0,4
t64z7w2s,0,2
ehe2atn2,0,2
twdl9zs1,0,1
3c9xqym5,1,1
2xg8p6be,1,3
fflzm764,0,0
jwtektsg,1,0
7fxzv4u3,0,0
bbxux1ox,0,1
rwk8r2yk,1,4
ccprhvlz,1,1
049enulq,0,0
jidknwi5,0,3
flul1rsr,0,0
la8s8hmb,0,2
r5xqt4p5,0,1
01nouhtc,0,4
s1k9ye9o,0,4
2m71hssb,1,3
elrqvslw,1,1
f90km3tz,0,0
k3ny9v20,0,3
yar821uz,1,3
vgww4fyb,1,4
8dalfyo1,0,1
750cehlx,1,2
slg6mm1z,1,0
xyvgiui9,1,3
kkhzlm72,0,2
jeyn9382,1,3
kkzmpjrh,1,2
t7zewviy,0,0
twbozd1a,0,4
t7o75rh8,1,4
lx6dut07,0,1
6g5g79or,1,0
7875aud9,1,4
